master_id,region,region_number,region_name,region_prefectures,site_name,site_name_dup_fix,site_name_period_mean,site_name_period_mean_round,site_occurances,site_period_occurances,location,specimin_number,sex,sex_unified,age_range,age_min,age_max,age_min_noxon,age_max_noxon,over_5_values,percentage_value_5_19,output_values_5_19,range_value_5_under,output_values_0_5,age_mean,culture_area,period,period_start,period_end,period_range,calBPmax,calBPmin,period_eng,period_min,period_max,period_numeric,period_min_kudo,period_max_kudo,period_min_noxon,period_max_noxon,period_min_neg_noxon,period_max_neg_noxon,period_mean_noxon,period_mean_round_noxon,burial_posture_1,burial_posture_2,cephalic_direction,burial_shape_1,burial_shape_2,burial_postition_location,upper_construction,lower_construction,burial_type,dental_equation,personal_accessories-_contents_location,grave_good_number_of,red_pigment_application_location,bone_lesions_presence_location_description,"injuries_sustained_during_life_presence,_location_description",frontal_suture,interparietal_bone_inca,right_lamboidal_sutural_ossicles,left_lamboidal_sutural_ossicles,right_zygomatic_horizontal_suture_remaining,left_zygomatic_horizontal_suture_remaining,right_supraorbital_foramen,left_supraorbital_foramen,right_condyloid_canal,left_condyloid_canal,right_hypoglossal_canal_bisects,left_hypoglossal_canal_bisects,right_parietal _foramen,left_parietal_foramen,references
87,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",美沢１遺跡,美沢１遺跡,美沢１遺跡-3500,美沢１遺跡-3500,46,46,,ＪＸ－４、Ｐ－１１４　出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,後期(Late),Late Jomon,Late Jomon,Late Jomon_Late Jomon,4490,3220,Late,後期(Late),後期(Late),,4000,#ERROR!,4000,#ERROR!,-4000,-3000,-3500,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",美沢１遺跡,美沢１遺跡,美沢１遺跡-3500,美沢１遺跡-3500,46,46,,ＪＸ－４、Ｐ－１１５　出土人骨,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,後期(Late),Late Jomon,Late Jomon,Late Jomon_Late Jomon,4490,3220,Late,後期(Late),後期(Late),,4000,#ERROR!,4000,#ERROR!,-4000,-3000,-3500,-3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",美沢１遺跡,美沢１遺跡,美沢１遺跡-3500,美沢１遺跡-3500,46,46,,ＪＸ－４、Ｐ－１１６　出土人骨,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,後期(Late),Late Jomon,Late Jomon,Late Jomon_Late Jomon,4490,3220,Late,後期(Late),後期(Late),,4000,#ERROR!,4000,#ERROR!,-4000,-3000,-3500,-3500,下臥左側,伸展葬(extended burial),N32W,単葬(single burial),単独葬(individual burial),土坑内(earthen pit),石柱（墓標？）類,土壙（無配石）,土坑墓(earthen grave),,,土器,全身,,,,,,,,,,,,,,,,,北海道教育委員会１９７９
90,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",共春遺跡,共春遺跡,共春遺跡-2715,共春遺跡-2715,1,1,,２号,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第一地域（北海道北部）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１号,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),N45W,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
92,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２号,男性,M,思春期(13-16),13,16,13,16,1,1,1,0,0,14.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),N4 0W,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,土器,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
93,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,３号,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,不明,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
94,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,４号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,４号胎児骨,子供で不明,U,新生児期(neonatal),0,0,0,0,0,0,0,1,1,0,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,不明,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
96,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,５号,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,６号,男性,M,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,屈葬(crouched burial),N?,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,石槍１ - 土器１,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
98,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,７号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,８号,子供で不明,U,小児期(6-12),6,12,6,12,1,1,1,0,0,9,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),N3 5W,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,ベンガラ塊 - 土器,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
100,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,９号,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,N?,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
101,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１０号,遺存状態不良で不明,U,幼児期(2-5),2,5,2,5,0.25,0.25,0.25,1,1,3.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,下臥左側,屈葬(crouched burial),N2 0W,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,首飾？：小玉３０,土器２,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
102,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１１号,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１２号,子供で不明,U,小児期(6-12),6,12,6,12,1,1,1,0,0,9,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),W1 0N,単葬(single burial),合葬(collective burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,首飾：ヒスイ製管玉１,骨針２,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
104,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１３号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１５号,子供で不明,U,思春期(13-16),13,16,13,16,1,1,1,0,0,14.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,不明,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,土器３,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
106,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１６号,子供で不明,U,幼児期(2-5),2,5,2,5,0.25,0.25,0.25,1,1,3.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),SE,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,土器２,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
107,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１７号,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１９号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２０号,遺存状態不良で不明,U,思春期(13-16),13,16,13,16,1,1,1,0,0,14.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,不明,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
110,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２１号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２２号,女性,F,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２３号,男性,M,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２４号,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２５号,子供で不明,U,乳児期(~2),0,2,0,2,0,0,0,1,1,1,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,NW,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,ホタテ貝１,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
115,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２６号,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２７号,遺存状態不良で不明,U,幼児期(2-5),2,5,2,5,0.25,0.25,0.25,1,1,3.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,不明,不明,不明,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,土器,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
117,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,２８号,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,座葬(seated burial),屈葬(crouched burial),不明,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,土器３,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
118,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１４号,女性,F,熟年期(40-59),40,59,40,59,1,0,0,0,0,49.5,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,仰臥(supine),屈葬(crouched burial),N70W,単葬(single burial),単独葬(individual burial),配石下土壙内,配石,土壙（無配石）,配石墓(burial with stone alignments),,,石鏃１ - 土器,全身,,,,,,,,,,,,,,,,,札幌医科大学剖学第２講座１９８７
119,"2: 北海道西部・東北地方北部 - West Hokkaido,Northern Tohoku: 青森・秋田・岩手  : Aomori, Akita, Iwate",2,"West Hokkaido,Northern Tohoku","Fukuoka, Oita, Saga, Nagasaki, Kumamoto, Miyazaki, Kagoshima",高砂貝塚,高砂貝塚,高砂貝塚-2715,高砂貝塚-2715,29,29,,１８号,遺存状態不良で不明,U,不明,U,U,U,U,0,#VALUE!,0,#VALUE!,0,U,第二地域（南北海道～北東北）,晩期(Final),Final Jomon,Final Jomon,Final Jomon_Final Jomon,3220,2385,Final,晩期(Final),晩期(Final),,3000,#ERROR!,3000,#ERROR!,-3000,-2430,-2715,-2715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,東
