PostholeID,PithouseID,Original_ID,Added_ID,Adapted_ID,Diameter,Major,Minor,Depth,Scale1m,D_Measure,D_Scaled,FlrLvlDep,FlrLvlDepScale,PostType,D_Ref,Notes
PH155-1008-1-1011,P155-1008-1,P11,,P11,,,,0.64,1.66,0.43,0.2590361446,,0,p,10,"P16 listed as an aternative, but P11 appears to fit with pithouse configuration. Scale bar set at 2 and 4m. 2m line measured and divided in half."
PH155-1008-2-1001,P155-1008-2,P1,,P1,,,,0.74,1.66,0.44,0.265060241,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1008-2-1003,P155-1008-2,P3,,P3,,,,0.75,1.66,0.46,0.2771084337,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1008-2-1005,P155-1008-2,P5,,P5,,,,0.81,1.66,0.55,0.3313253012,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1008-2-1008,P155-1008-2,P8,,P8,,,,0.79,1.66,0.56,0.3373493976,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1008-2-1012,P155-1008-2,P12,,P12,,,,0.68,1.66,0.37,0.2228915663,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1008-2-1014,P155-1008-2,P14,,P14,,,,0.87,1.66,0.4,0.2409638554,,0,p,10,Scale bar set at 2 and 4m. 2m line measured and divided in half.
PH155-1015-1-1009,P155-1015-1,P9,,P9,,,,0.598,1.65,0.26,0.1575757576,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1015-1-1005,P155-1015-1,P5,,P5,,,,0.588,1.65,0.16,0.09696969697,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. Unknown if P5 or P 8 was the main pillar"
PH155-1015-1-1008,P155-1015-1,P8,,P8,,,,0.555,1.65,0.13,0.07878787879,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. Unknown if P5 or P 8 was the main pillar"
PH155-1015-1-1012,P155-1015-1,P12,,P12,,,,0.498,1.65,0.15,0.09090909091,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1015-1-1014,P155-1015-1,P14,,P14,,,,0.399,1.65,0.11,0.06666666667,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1015-1-1010,P155-1015-1,P10,,P10,,,,0.347,1.65,0.08,0.04848484848,uk,#VALUE!,p,8,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1016-1-1001,P155-1016-1,P1,,P1,,,,0.278,1.66,0.13,0.07831325301,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1016-1-1002,P155-1016-1,P2,,P2,,,,0.596,1.66,0.13,0.07831325301,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1016-1-1003,P155-1016-1,P3,,P3,,,,0.337,1.66,0.15,0.09036144578,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1016-1-1004,P155-1016-1,P4,,P4,,,,0.457,1.66,0.19,0.1144578313,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1018-1-1017,P155-1018-1,P17,,P17,,,,0.251,1.66,0.19,0.1144578313,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. P17, P7, P21, P18 fit the shape for main pillars but unsure as to whether they are or not"
PH155-1018-1-1007,P155-1018-1,P7,,P7,,,,0.286,1.66,0.1,0.06024096386,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. P17, P7, P21, P18 fit the shape for main pillars but unsure as to whether they are or not"
PH155-1018-1-1021,P155-1018-1,P21,,P21,,,,0.482,1.66,0.25,0.1506024096,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. P17, P7, P21, P18 fit the shape for main pillars but unsure as to whether they are or not"
PH155-1018-1-1018,P155-1018-1,P18,,P18,,,,0.467,1.66,0.3,0.1807228916,uk,#VALUE!,p,9,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. P17, P7, P21, P18 fit the shape for main pillars but unsure as to whether they are or not"
PH155-1017-1-1001,P155-1017-1,P1,,P1,,,,0.62,1.65,0.25,0.1515151515,uk,#VALUE!,p,11,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1017-1-1002,P155-1017-1,P2,,P2,,,,0.858,1.65,0.17,0.103030303,uk,#VALUE!,p,11,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1017-1-1003,P155-1017-1,P3,,P3,,,,0.312,1.65,0.27,0.1636363636,uk,#VALUE!,p,11,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1017-1-1004,P155-1017-1,P4,,P4,,,,0.64,1.65,0.23,0.1393939394,uk,#VALUE!,p,11,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1017-1-1005,P155-1017-1,P5,,P5,,,,0.645,1.65,0.23,0.1393939394,uk,#VALUE!,p,11,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. P5 not listed as a main pillar but the postitioning and depth seems consistant with a primary pillar"
PH155-1020-1-1001,P155-1020-1,P1,,P1,,,,0.447,1.66,0.17,0.1024096386,,0,p,17,
PH155-1020-1-1002,P155-1020-1,P2,,P2,,,,0.439,1.66,0.2,0.1204819277,,0,p,17,P2 a possible main pillar
PH155-1020-1-1003,P155-1020-1,P3,,P3,,,,0.599,1.66,0.11,0.06626506024,,0,p,17,"Multiple overlapping postholes, innermost posthole measured."
PH155-1020-1-1004,P155-1020-1,P4,,P4,,,,0.506,1.66,0.15,0.09036144578,,0,p,17,"Multiple overlapping postholes, innermost posthole 0.04, so the next laragest posthole measured."
PH155-1020-1-1005,P155-1020-1,P5,,P5,,,,0.661,1.66,0.11,0.06626506024,,0,p,17,"Multiple overlapping postholes, innermost posthole 0.04, so the next laragest posthole measured."
PH155-1021-1-1001,P155-1021-1,P1,,P1,,,,0.72,1.66,0.19,0.1144578313,uk,#VALUE!,p,19,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1021-1-1002,P155-1021-1,P2,,P2,,,,0.613,1.66,0.17,0.1024096386,uk,#VALUE!,p,19,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1021-1-1005,P155-1021-1,P5,,P5,,,,0.725,1.66,0.19,0.1144578313,uk,#VALUE!,p,19,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1021-1-1006,P155-1021-1,P6,,P6,,,,0.766,1.66,0.23,0.1385542169,uk,#VALUE!,p,19,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1021-1-1007,P155-1021-1,P7,,P7,,,,0.441,1.66,0.31,0.186746988,uk,#VALUE!,p,19,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1023-1-1001,P155-1023-1,P1,,P1,,,,0.694,1.67,0.44,0.2634730539,,0,p,21,
PH155-1023-1-1002,P155-1023-1,P2,,P2,,,,0.781,1.67,0.45,0.2694610778,,0,p,21,
PH155-1023-1-1003,P155-1023-1,P3,,P3,,,,0.563,1.67,0.44,0.2634730539,,0,p,21,
PH155-1023-1-1004,P155-1023-1,P4,,P4,,,,0.153,1.67,0.35,0.2095808383,,0,p,21,
PH155-1024-1-1001,P155-1024-1,P1,,P1,,,,0.834,1.63,0.33,0.2024539877,,0,p,24,
PH155-1024-1-1002,P155-1024-1,P2,,P2,,,,0.822,1.63,0.35,0.2147239264,,0,p,24,
PH155-1024-1-1003,P155-1024-1,P3,,P3,,,,0.629,1.63,0.23,0.1411042945,,0,p,24,
PH155-1024-1-1004,P155-1024-1,P4,,P4,,,,0.653,1.63,0.26,0.1595092025,,0,p,24,
PH155-1025-1-1001,P155-1025-1,P1,,P1,,,,0.9,1.63,0.29,0.1779141104,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1025-1-1002,P155-1025-1,P2,,P2,,,,0.733,1.63,0.39,0.2392638037,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1025-1-1003,P155-1025-1,P3,,P3,,,,0.597,1.63,0.2,0.1226993865,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1025-1-1004,P155-1025-1,P4,,P4,,,,0.582,1.63,0.19,0.1165644172,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1025-1-1005,P155-1025-1,P5,,P5,,,,0.611,1.63,0.26,0.1595092025,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1025-1-1006,P155-1025-1,P6,,P6,,,,0.869,1.63,0.3,0.1840490798,uk,#VALUE!,p,27,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1029-1-1001,P155-1029-1,P1,,P1,,,,0.63,1.63,0.38,0.2331288344,uk,#VALUE!,p,28,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1029-1-1002,P155-1029-1,P2,,P2,,,,0.785,1.63,0.37,0.226993865,uk,#VALUE!,p,28,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1029-1-1003,P155-1029-1,P3,,P3,,,,0.543,1.63,0.21,0.1288343558,uk,#VALUE!,p,28,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1029-1-1004,P155-1029-1,P4,,P4,,,,0.701,1.63,0.3,0.1840490798,uk,#VALUE!,p,28,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used."
PH155-1029-1-1005,P155-1029-1,P5,,P5,,,,0.575,1.63,0.39,0.2392638037,uk,#VALUE!,p,28,"Posthole depth measured from top of postholes instead of estimated floor height. This caused pits in areas of erosion to have shallower depths than the depth at time of construction. Estimated floor hight not given, so posthole depth data not used. Uncertain if P5 is a main pillar."
PH155-1027-1-1001,P155-1027-1,P1,,P1,,,,0.568,1.64,0.21,0.1280487805,,0,p,30,
PH155-1027-1-1003,P155-1027-1,P3,,P3,,,,0.427,1.64,0.42,0.256097561,,0,p,30,
PH155-1027-1-1005,P155-1027-1,P5,,P5,,,,0.405,1.64,0.35,0.2134146341,,0,p,30,
PH155-1027-1-1007,P155-1027-1,P7,,P7,,,,0.445,1.64,0.26,0.1585365854,,0,p,30,"Only half of posthole excavated, diameter measured at available angle."
PH156-1001-1-1001,P156-1001-1,P1,,P1,,,,,1.67,0.22,0.1317365269,,0,p,7,"Only rough estimate of 60cm given for depth and profile drawings don't appear to always cross at the deepest portions, so only diameters are measured and recorded. "
PH156-1001-1-1005,P156-1001-1,P5,,P5,,,,,1.67,0.25,0.1497005988,,0,p,7,"Only rough estimate of 60cm given for depth and profile drawings don't appear to always cross at the deepest portions, so only diameters are measured and recorded. "
PH156-1001-1-1006,P156-1001-1,P6,,P6,,,,,1.67,0.17,0.1017964072,,0,p,7,"Only rough estimate of 60cm given for depth and profile drawings don't appear to always cross at the deepest portions, so only diameters are measured and recorded. "
PH156-1001-1-1008,P156-1001-1,P8,,P8,,,,,1.67,0.23,0.1377245509,,0,p,7,"Only rough estimate of 60cm given for depth and profile drawings don't appear to always cross at the deepest portions, so only diameters are measured and recorded. "
PH156-1001-1-1011,P156-1001-1,P11,,P11,,,,,1.67,0.23,0.1377245509,,0,p,7,"Multiple postholes identified as P11, interior posthole measured as it appears to better match original configuration. Only rough estimate of 60cm given for depth and profile drawings don't appear to always cross at the deepest portions, so only diameters are measured and recorded. "
PH156-2001-1-1001,P156-2001-1,P1,,P1,,,,0.48,1.66,0.22,0.1325301205,,0,p,4,Measurements given in report but don't appear to match bottom dimensions. 
PH156-2001-1-1002,P156-2001-1,P2,,P2,,,,0.64,1.66,0.23,0.1385542169,,0,p,4,Measurements given in report but don't appear to match bottom dimensions.
PH156-2001-1-1003,P156-2001-1,P3,,P3,,,,0.64,1.66,0.47,0.2831325301,,0,p,4,"Other postholes had additional postholes nearby. P3 posthole possibly larger due to same posthole being used twice. Measurements given in report but don't appear to match bottom dimensions. Depth of P1, P2, and P3 measured from drawing."
PH156-2001-1-1004,P156-2001-1,P4,,P4,,,,0.62,1.66,0.23,0.1385542169,,0,p,4,Measurements given in report but don't appear to match bottom dimensions. 
PH156-2002-1-1001,P156-2002-1,P1,,P1,,,,,1.65,0.27,0.1636363636,uk,#VALUE!,p,5,"Preservation of the pithouse was poor. Measurements given in report are generalized. Estimated floor heights not present, making accurate depth measurments impossible. "
PH156-2002-1-1002,P156-2002-1,P2,,P2,,,,,1.65,0.46,0.2787878788,uk,#VALUE!,p,5,"Preservation of the pithouse was poor. Measurements given in report are generalized. Estimated floor heights not present, making accurate depth measurments impossible. "
PH156-2002-1-1003,P156-2002-1,P3,,P3,,,,,1.65,0.25,0.1515151515,uk,#VALUE!,p,5,"Preservation of the pithouse was poor. Measurements given in report are generalized. Estimated floor heights not present, making accurate depth measurments impossible. "
PH156-2002-1-1004,P156-2002-1,P4,,P4,,,,,1.65,0.39,0.2363636364,uk,#VALUE!,p,5,"Preservation of the pithouse was poor. Measurements given in report are generalized. Estimated floor heights not present, making accurate depth measurments impossible. "
PH156-2002-1-1005,P156-2002-1,P5,,P5,,,,,1.65,0.35,0.2121212121,uk,#VALUE!,p,5,"Preservation of the pithouse was poor. Measurements given in report are generalized. Estimated floor heights not present, making accurate depth measurments impossible. "
PH245-1001-1-1002,P245-1001-1,P2,,P2,,0.3,0.23,0.72,1.64,0.57,0.3475609756,,0,p,6,"30, 23, 72 from table. On table, major axis of P2 and P8 were estimated due to being cut into by other pits. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used. P1 and P2 overlap, P2 used as main post as it was dug prior to P1. P1 data recorded but classified as x type instead of p."
PH245-1001-1-1003,P245-1001-1,P3,,P3,,0.19,0.17,0.68,1.64,0.32,0.1951219512,,0,p,6,"19, 17, 68 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-1-1004,P245-1001-1,P4,,P4,,0.3,0.26,0.86,1.64,0.54,0.3292682927,,0,p,6,"30, 26, 86 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-1-1005,P245-1001-1,P5,,P5,,0.31,0.25,0.87,1.64,0.46,0.2804878049,,0,p,6,"31, 25, 87 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-2-1006,P245-1001-2,P6,,P6,,0.23,0.18,0.78,1.64,0.41,0.25,,0,p,6,"23, 18, 78 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-2-1007,P245-1001-2,P7,,P7,,0.15,0.14,0.74,1.64,0.45,0.2743902439,,0,p,6,"15, 14, 74 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used. P7 and P8 overlap, P7 used as main post. P8 data recorded but classified as x type instead of p."
PH245-1001-2-1009,P245-1001-2,P9,,P9,,0.23,0.17,0.62,1.64,0.41,0.25,,0,p,6,"23, 17, 62 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-2-1010,P245-1001-2,P10,,P10,,0.24,0.21,0.77,1.64,0.43,0.262195122,,0,p,6,"24, 21, 77 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-2-1011,P245-1001-2,P11,,P11,,0.24,0.2,0.7,1.64,0.34,0.2073170732,,0,p,6,"24, 20, 70 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1001-2-1012,P245-1001-2,P12,,P12,,0.27,0.22,0.93,1.64,0.53,0.3231707317,,0,p,6,"27, 22, 93 from table. Discrepancy between values from table and values obtained from map. Possible that table used incorrect scale, reducing values by half. Map measurments used."
PH245-1010-1-1032,P245-1010-1,P32,,P32,,,,0.32,1.65,0.37,0.2242424242,,0,p,4,Postholes identified by depth. 
PH245-1010-1-1039,P245-1010-1,P39,,P39,,,,0.39,1.65,0.2,0.1212121212,,0,p,4,Postholes identified by depth. 
PH245-1010-1-1046,P245-1010-1,P46,,P46,,,,0.46,1.65,0.27,0.1636363636,,0,p,4,"2 postholes with a depth of 46cm, this is the eastern 46cm posthole. Postholes identified by depth. "
PH245-1010-1-1058,P245-1010-1,P58,,P58,,,,0.58,1.65,0.26,0.1575757576,,0,p,4,Postholes identified by depth. 
PH245-1010-1-1063,P245-1010-1,P63,,P63,,,,0.63,1.65,0.35,0.2121212121,,0,p,4,Postholes identified by depth. 
PH245-1010-2-1080,P245-1010-2,P80,,P80,,,,0.8,1.65,0.6,0.3636363636,,0,p,4,Postholes identified by depth. 
PH245-1010-2-1088,P245-1010-2,P88,,P88,,,,0.88,1.65,0.26,0.1575757576,,0,p,4,Postholes identified by depth. 
PH245-1010-2-1100,P245-1010-2,P100,,P100,,,,1,1.65,0.67,0.4060606061,,0,p,4,Postholes identified by depth. 
PH245-1010-2-1109,P245-1010-2,P109,,P109,,,,1.09,1.65,0.51,0.3090909091,,0,p,4,"Multiple overlapping postholes identified, innermost posthole P109 was measured. Postholes identified by depth. "
PH245-1010-2-1090,P245-1010-2,P90,,P90,,,,0.9,1.65,0.98,0.5939393939,,0,p,4,Postholes identified by depth. 
PH245-1010-3-1090,P245-1010-3,P90,P090,P090,,,,0.9,1.65,0.19,0.1151515152,,0,p,4,Two postholes on have a depth of 90cm. This posthole is the innermost posthole joined with P78. I created label of P090 to differentiate between the two P90 postholes. Postholes identified by depth. 
PH245-1010-3-1068,P245-1010-3,P68,,P68,,,,0.68,1.65,0.35,0.2121212121,,0,p,4,P68 and P53 overlap. P68 was measured and used. Postholes identified by depth. 
PH245-1010-3-1075,P245-1010-3,P75,,P75,,,,0.75,1.65,0.33,0.2,,0,p,4,Postholes identified by depth. 
PH245-1010-3-1077,P245-1010-3,P77,,P77,,,,0.77,1.65,0.57,0.3454545455,,0,p,4,Postholes identified by depth. 
PH245-1010-3-1090,P245-1010-3,P90,,P90,,,,0.9,1.65,0.98,0.5939393939,,0,p,4,Postholes identified by depth. 
PH246-1028-1-1001,P246-1028-1,P1,,P1,,,,0.5,1.65,0.14,0.08484848485,,0,p,20,
PH246-1028-1-1002,P246-1028-1,P2,,P2,,,,0.35,1.65,0.1,0.06060606061,,0,p,20,
PH246-1028-1-1003,P246-1028-1,P3,,P3,,,,0.52,1.65,0.14,0.08484848485,,0,p,20,
PH246-1028-1-1005,P246-1028-1,P5,,P5,,,,0.51,1.65,0.14,0.08484848485,,0,p,20,
PH246-1028-1-1006,P246-1028-1,P6,,P6,,,,0.6,1.65,0.12,0.07272727273,,0,p,20,"P6 and P7 are cunnected, but unable to determine which is older. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1007,P246-1028-1,P7,,P7,,,,0.5,1.65,0.15,0.09090909091,,0,p,20,"P6 and P7 are cunnected, but unable to determine which is older. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1008,P246-1028-1,P8,,P8,,,,0.6,1.65,0.13,0.07878787879,,0,p,20,"P8 and P9 are located near each other, one possibly replacing the other but unable to determine which is older. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1009,P246-1028-1,P9,,P9,,,,0.4,1.65,0.05,0.0303030303,,0,p,20,"P8 and P9 are located near each other, one possibly replacing the other but unable to determine which is older. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1010,P246-1028-1,P10,,P10,,,,0.5,1.65,0.12,0.07272727273,,0,p,20,"P10 and P11 overlap. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1011,P246-1028-1,P11,,P11,,,,0.35,1.65,0.07,0.04242424242,,0,p,20,"P10 and P11 overlap. Unable to determine two clear phases of rebuilding, so treated as part of the same phase."
PH246-1028-1-1014,P246-1028-1,P14,,P14,,,,0.31,1.65,0.15,0.09090909091,,0,p,20,
PH248-1001-1-1001,P248-1001-1,P1,,P1,,,,0.49,1.65,0.24,0.1454545455,,0,p,5,
PH248-1001-1-1002,P248-1001-1,P2,,P2,,,,0.38,1.65,0.27,0.1636363636,,0,p,5,
PH248-1001-1-1003,P248-1001-1,P3,,P3,,,,0.21,1.65,0.25,0.1515151515,,0,p,5,
PH248-1001-1-1004,P248-1001-1,P4,,P4,,,,0.67,1.65,0.17,0.103030303,,0,p,5,"P4 cuts into P5. Unable to determine more than one occupation however, so it is most likely a repair. "
PH248-1001-1-1005,P248-1001-1,P5,,P5,,,,0.27,1.65,0.25,0.1515151515,,0,p,5,"P4 cuts into P5. Unable to determine more than one occupation however, so it is most likely a repair. "
PH249-1001-1-1001,P249-1001-1,P1,,P1,,,,0.6,1.66,0.31,0.186746988,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-1-1002,P249-1001-1,P2,,P2,,,,0.65,1.66,0.3,0.1807228916,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-1-1003,P249-1001-1,P3,,P3,,,,0.55,1.66,0.4,0.2409638554,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-1-1004,P249-1001-1,P4,,P4,,,,0.6,1.66,0.25,0.1506024096,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-1-1009,P249-1001-1,P9,,P9,,,,0.7,1.66,0.35,0.2108433735,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1001,P249-1001-2,P1,,P1,,,,0.6,1.66,0.31,0.186746988,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1002,P249-1001-2,P2,,P2,,,,0.65,1.66,0.3,0.1807228916,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1003,P249-1001-2,P3,,P3,,,,0.55,1.66,0.4,0.2409638554,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1004,P249-1001-2,P4,,P4,,,,0.6,1.66,0.25,0.1506024096,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1009,P249-1001-2,P9,,P9,,,,0.7,1.66,0.35,0.2108433735,uk,#VALUE!,p,5,Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1005,P249-1001-2,P5,,P5,,,,0.5,1.66,0.26,0.156626506,uk,#VALUE!,p,5,P5-P8 appear to be part of expansion. Located inside of the new walls a similar distance as previous postholes were to old walls. Doesn't appear that old posts were removed however. Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1006,P249-1001-2,P6,,P6,,,,0.85,1.66,0.21,0.1265060241,uk,#VALUE!,p,5,P5-P8 appear to be part of expansion. Located inside of the new walls a similar distance as previous postholes were to old walls. Doesn't appear that old posts were removed however. Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1007,P249-1001-2,P7,,P7,,,,0.4,1.66,0.39,0.234939759,uk,#VALUE!,p,5,P5-P8 appear to be part of expansion. Located inside of the new walls a similar distance as previous postholes were to old walls. Doesn't appear that old posts were removed however. Postholes present in walls but not numbered and no depths given.
PH249-1001-2-1008,P249-1001-2,P8,,P8,,,,0.65,1.66,0.46,0.2771084337,uk,#VALUE!,p,5,"Small posthole inside of P8, but with a minor axis of 4cm, too small to be main posthole, so larger exterior posthole used. P5-P8 appear to be part of expansion. Located inside of the new walls a similar distance as previous postholes were to old walls. Doesn't appear that old posts were removed however. Postholes present in walls but not numbered and no depths given."
PH251-1004-1-1001,P251-1004-1,,P1,P1,,,,,1.64,0.25,0.1524390244,,0,p,14,Posthole numbers not given. Numbers assigned clockwise starting closest to compass marker and the E transect line.
PH251-1004-1-1002,P251-1004-1,,P2,P2,,,,,1.64,0.23,0.1402439024,,0,p,14,Posthole numbers not given. Numbers assigned clockwise starting closest to compass marker and the E transect line.
PH251-1004-1-1003,P251-1004-1,,P3,P3,,,,,1.64,0.29,0.1768292683,,0,p,14,Posthole numbers not given. Numbers assigned clockwise starting closest to compass marker and the E transect line.
PH251-1004-1-1004,P251-1004-1,,P4,P4,,,,,1.64,0.22,0.1341463415,,0,p,14,Posthole numbers not given. Numbers assigned clockwise starting closest to compass marker and the E transect line.
